r,trajectory_id,step_id,PL,RMS,PL_minus_RMS,abs_PL_minus_RMS,PL_RMS_ratio,PL_plus_RMS,RMS_PL_ratio
1977.868802524576,0,0,62.2,8.16,54.04,54.04,7.62,70.36,0.13
2392.6942972306347,0,1,63.8,9.18,54.62,54.62,6.95,72.98,0.14
1912.59117429732,0,2,62.3,7.74,54.56,54.56,8.05,70.04,0.12
2238.922285386431,0,3,63.8,9.14,54.66,54.66,6.98,72.94,0.14
2147.771170306557,0,4,63.7,8.61,55.09,55.09,7.4,72.31,0.14
1582.8278491358433,0,5,63.6,8.73,54.87,54.87,7.29,72.33,0.14
1207.4042405093664,0,6,62.6,8.44,54.16,54.16,7.42,71.04,0.13
1259.345861945796,0,7,61.6,7.96,53.64,53.64,7.74,69.56,0.13
1627.5186634874576,0,8,61.9,7.76,54.14,54.14,7.98,69.66,0.13
1663.608126933744,0,9,62.8,8.14,54.66,54.66,7.71,70.94,0.13
1525.3150494242166,1,0,62.2,7.9,54.3,54.3,7.87,70.1,0.13
1869.800524120153,1,1,63.5,8.21,55.29,55.29,7.73,71.71,0.13
2136.3281583127628,1,2,62.9,7.98,54.92,54.92,7.88,70.88,0.13
1931.4877685349188,1,3,63.9,8.89,55.01,55.01,7.19,72.79,0.14
1641.726225653961,1,4,63.6,8.68,54.92,54.92,7.33,72.28,0.14
1310.112208934792,1,5,63.4,9.25,54.15,54.15,6.85,72.65,0.15
1390.3053621417132,1,6,63.2,8.79,54.41,54.41,7.19,71.99,0.14
1102.4450099664834,1,7,62.0,8.17,53.83,53.83,7.59,70.17,0.13
808.6661857651771,1,8,61.4,7.89,53.51,53.51,7.78,69.29,0.13
1225.2530350911195,1,9,61.8,8.07,53.73,53.73,7.66,69.87,0.13
2138.676459869515,2,0,63.8,9.16,54.64,54.64,6.97,72.96,0.14
1668.2964364884317,2,1,62.7,8.49,54.21,54.21,7.39,71.19,0.14
1582.139374391523,2,2,63.4,8.51,54.89,54.89,7.45,71.91,0.13
1737.8161582860257,2,3,64.1,9.39,54.71,54.71,6.83,73.49,0.15
1444.0893324168003,2,4,63.6,9.3,54.3,54.3,6.84,72.9,0.15
1027.8385087162285,2,5,62.6,8.72,53.88,53.88,7.18,71.32,0.14
814.6318186763883,2,6,62.4,8.35,54.05,54.05,7.47,70.75,0.13
1049.0171590588973,2,7,62.6,8.23,54.37,54.37,7.61,70.83,0.13
1480.0800654018688,2,8,62.4,8.43,53.97,53.97,7.4,70.83,0.14
1341.254636525071,2,9,65.2,10.15,55.05,55.05,6.42,75.35,0.16
1945.9331951534205,3,0,64.8,9.72,55.08,55.08,6.67,74.52,0.15
2354.6316060054914,3,1,63.0,8.5,54.5,54.5,7.41,71.5,0.13
1907.3093613779597,3,2,63.4,8.68,54.72,54.72,7.3,72.08,0.14
1415.361791203931,3,3,63.7,8.74,54.96,54.96,7.29,72.44,0.14
1068.9120637358342,3,4,63.0,9.22,53.78,53.78,6.83,72.22,0.15
1410.5647805046035,3,5,62.4,8.54,53.86,53.86,7.31,70.94,0.14
838.2082080247127,3,6,63.3,9.03,54.27,54.27,7.01,72.33,0.14
926.5705585652936,3,7,62.1,7.68,54.42,54.42,8.09,69.78,0.12
1249.9427986912042,3,8,62.6,7.96,54.64,54.64,7.86,70.56,0.13
1551.4232175650848,3,9,61.5,6.96,54.54,54.54,8.84,68.46,0.11
1528.5800600557368,4,0,63.7,8.88,54.82,54.82,7.17,72.58,0.14
1248.9615686641444,4,1,63.4,9.13,54.27,54.27,6.94,72.53,0.14
1565.8160811538498,4,2,62.8,8.42,54.38,54.38,7.46,71.22,0.13
1142.1847486286972,4,3,64.0,9.3,54.7,54.7,6.88,73.3,0.15
923.1451673491011,4,4,62.6,8.81,53.79,53.79,7.11,71.41,0.14
546.465918424928,4,5,64.2,10.02,54.18,54.18,6.41,74.22,0.16
709.2707522519169,4,6,62.1,8.85,53.25,53.25,7.02,70.95,0.14
1283.6463687480286,4,7,63.3,8.55,54.75,54.75,7.4,71.85,0.14
1380.314819162643,4,8,64.7,9.89,54.81,54.81,6.54,74.59,0.15
1063.6489082399323,4,9,64.1,9.64,54.46,54.46,6.65,73.74,0.15
1418.7138541651027,5,0,64.1,9.45,54.65,54.65,6.78,73.55,0.15
1551.9539297285858,5,1,64.1,9.4,54.7,54.7,6.82,73.5,0.15
1252.0998362750472,5,2,62.3,8.3,54.0,54.0,7.51,70.6,0.13
1297.7230058837672,5,3,62.3,8.37,53.93,53.93,7.44,70.67,0.13
854.9672508347908,5,4,62.0,7.94,54.06,54.06,7.81,69.94,0.13
1184.2943046388427,5,5,62.5,8.05,54.45,54.45,7.76,70.55,0.13
1457.37606677206,5,6,63.4,9.35,54.05,54.05,6.78,72.75,0.15
1795.702647990474,5,7,62.8,8.18,54.62,54.62,7.68,70.98,0.13
1733.3854158841882,5,8,63.0,9.14,53.86,53.86,6.89,72.14,0.15
1946.0123329516696,5,9,62.9,8.39,54.51,54.51,7.5,71.29,0.13
2996.7584153548314,6,0,63.8,9.1,54.7,54.7,7.01,72.9,0.14
2595.8027660051525,6,1,62.6,8.55,54.05,54.05,7.32,71.15,0.14
2070.8300268249927,6,2,63.8,9.05,54.75,54.75,7.05,72.85,0.14
1573.2577665468557,6,3,63.2,8.68,54.52,54.52,7.28,71.88,0.14
1092.2572956954784,6,4,62.3,8.57,53.73,53.73,7.27,70.87,0.14
1498.6747479022924,6,5,63.5,9.02,54.48,54.48,7.04,72.52,0.14
1467.1826743797103,6,6,62.6,8.14,54.46,54.46,7.69,70.74,0.13
1643.5844973715225,6,7,63.8,8.86,54.94,54.94,7.2,72.66,0.14
